species,lifestage,url,shp_comp
goliathgrouper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/6,spatial_data
graysnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/0,spatial_data
graysnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/1,spatial_data
graysnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/2,spatial_data
graysnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/3,spatial_data
graysnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/4,spatial_data
graysnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/5,spatial_data
graysnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graysnapper_2025/FeatureServer/6,spatial_data
graytriggerfish,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/0,spatial_data
graytriggerfish,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/1,spatial_data
graytriggerfish,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/2,spatial_data
graytriggerfish,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/3,spatial_data
graytriggerfish,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/4,spatial_data
graytriggerfish,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/5,spatial_data
graytriggerfish,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/graytriggerfish_2025/FeatureServer/6,spatial_data
greateramberjack,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/0,spatial_data
greateramberjack,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/1,spatial_data
greateramberjack,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/2,spatial_data
greateramberjack,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/3,spatial_data
greateramberjack,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/4,spatial_data
greateramberjack,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/5,spatial_data
greateramberjack,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/greateramberjack_2025/FeatureServer/6,spatial_data
hogfish,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/0,spatial_data
hogfish,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/1,spatial_data
hogfish,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/2,spatial_data
hogfish,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/3,spatial_data
hogfish,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/4,spatial_data
hogfish,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/5,spatial_data
hogfish,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/hogfish_2025/FeatureServer/6,spatial_data
kingmackerel,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/0,spatial_data
kingmackerel,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/1,spatial_data
kingmackerel,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/2,blank
kingmackerel,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/3,spatial_data
kingmackerel,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/4,spatial_data
kingmackerel,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/5,spatial_data
kingmackerel,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/kingmackerel_2025/FeatureServer/6,spatial_data
lanesnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/0,spatial_data
lanesnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/1,spatial_data
lanesnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/2,spatial_data
lanesnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/3,spatial_data
lanesnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/4,spatial_data
lanesnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/5,spatial_data
lanesnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lanesnapper_2025/FeatureServer/6,spatial_data
lesseramberjack,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/0,blank
lesseramberjack,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/1,blank
