"species","lifestage","habitatzone","habitattype","ecoregion","shapefile_name","pretty_name"
"brownshrimp","latejuvenile","est","em","er3","em_est_er3","ER3 Estuarine Emergent Marsh"
"brownshrimp","latejuvenile","est","em","er4","em_est_er4","ER4 Estuarine Emergent Marsh"
"brownshrimp","latejuvenile","est","em","er5","em_est_er5","ER5 Estuarine Emergent Marsh"
"brownshrimp","latejuvenile","est","oyster","er3","oyster_est_er3","ER3 Estuarine Oyster Reef"
"brownshrimp","latejuvenile","est","oyster","er4","oyster_est_er4","ER4 Estuarine Oyster Reef"
"brownshrimp","latejuvenile","est","oyster","er5","oyster_est_er5","ER5 Estuarine Oyster Reef"
"brownshrimp","latejuvenile","est","sb","er3","sb_est_er3","ER3 Estuarine Soft Bottom"
"brownshrimp","latejuvenile","est","sb","er4","sb_est_er4","ER4 Estuarine Soft Bottom"
"brownshrimp","latejuvenile","est","sb","er5","sb_est_er5","ER5 Estuarine Soft Bottom"
"brownshrimp","adult","off","sb","er1","sb_off_er1","ER1 Offshore Soft Bottom"
"brownshrimp","adult","off","sb","er2","sb_off_er2","ER2 Offshore Soft Bottom"
"brownshrimp","adult","off","sb","er3","sb_off_er3","ER3 Offshore Soft Bottom"
"brownshrimp","adult","off","sb","er4","sb_off_er4","ER4 Offshore Soft Bottom"
"brownshrimp","adult","off","sb","er5","sb_off_er5","ER5 Offshore Soft Bottom"
"brownshrimp","adult","off","mangrove","er1","mangrove_off_er1","ER1 Offshore Mangrove"
"brownshrimp","adult","off","mangrove","er2","mangrove_off_er2","ER2 Offshore Mangrove"
"brownshrimp","adult","off","mangrove","er3","mangrove_off_er3","ER3 Offshore Mangrove"
"brownshrimp","adult","off","mangrove","er4","mangrove_off_er4","ER4 Offshore Mangrove"
"brownshrimp","adult","off","mangrove","er5","mangrove_off_er5","ER5 Offshore Mangrove"
"brownshrimp","adult","off","sand","er1","sand_off_er1","ER1 Offshore Sand"
"brownshrimp","adult","off","sand","er2","sand_off_er2","ER2 Offshore Sand"
"brownshrimp","adult","off","sand","er3","sand_off_er3","ER3 Offshore Sand"
"brownshrimp","adult","off","sand","er4","sand_off_er4","ER4 Offshore Sand"
"brownshrimp","adult","off","sand","er5","sand_off_er5","ER5 Offshore Sand"
"brownshrimp","spawningadult","off","sb","er3","sb_off_er3","ER3 Offshore Soft Bottom"
"brownshrimp","spawningadult","off","sb","er4","sb_off_er4","ER4 Offshore Soft Bottom"
"brownshrimp","spawningadult","off","sb","er5","sb_off_er5","ER5 Offshore Soft Bottom"
"brownshrimp","spawningadult","off","mangrove","er3","mangrove_off_er3","ER3 Offshore Mangrove"
"brownshrimp","spawningadult","off","mangrove","er4","mangrove_off_er4","ER4 Offshore Mangrove"
"brownshrimp","spawningadult","off","mangrove","er5","mangrove_off_er5","ER5 Offshore Mangrove"
"brownshrimp","spawningadult","off","sand","er3","sand_off_er3","ER3 Offshore Sand"
"brownshrimp","spawningadult","off","sand","er4","sand_off_er4","ER4 Offshore Sand"
"brownshrimp","spawningadult","off","sand","er5","sand_off_er5","ER5 Offshore Sand"
"cobia","egg","est","wca","er2","wca_est_er2","ER2 Estuarine WCA"
"cobia","egg","est","wca","er3","wca_est_er3","ER3 Estuarine WCA"
"cobia","egg","est","wca","er4","wca_est_er4","ER4 Estuarine WCA"
"cobia","egg","est","wca","er5","wca_est_er5","ER5 Estuarine WCA"
"cobia","egg","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"cobia","egg","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","egg","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"cobia","egg","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","larvae","est","wca","er2","wca_est_er2","ER2 Estuarine WCA"
"cobia","larvae","est","wca","er3","wca_est_er3","ER3 Estuarine WCA"
"cobia","larvae","est","wca","er4","wca_est_er4","ER4 Estuarine WCA"
"cobia","larvae","est","wca","er5","wca_est_er5","ER5 Estuarine WCA"
"cobia","larvae","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"cobia","larvae","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","larvae","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"cobia","larvae","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","larvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"cobia","larvae","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"cobia","larvae","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"cobia","larvae","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"cobia","postlarvae","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","postlarvae","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"cobia","postlarvae","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","postlarvae","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"cobia","postlarvae","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"cobia","postlarvae","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"cobia","earlyjuvenile","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","earlyjuvenile","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"cobia","earlyjuvenile","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","earlyjuvenile","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"cobia","earlyjuvenile","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"cobia","earlyjuvenile","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"cobia","latejuvenile","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","latejuvenile","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
